what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1479286065694
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1479286065853
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1479286065946
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1479286065949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479286066397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479286067344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479286068402
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1479286068497
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1479286068538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479286660017
executed,command,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1479286660034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479286663153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479287235971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479287237528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479287238512
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479287238641
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1479287242228
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1479287242244
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1479289681587
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1479289681589
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1479289681590
