what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479290301931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479290536568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1479290539677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479290540004
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1479290547869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479290547931
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1479290548056
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1479290548087
started,bundle,org.eclipse.jst.common.frameworks,1.1.501.v201201190400,"org.eclipse.jst.common.frameworks",1479290551675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479290556012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479290561815
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1479290561831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479290565247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479290570212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1479290570228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1479290570228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479290572439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479290701194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479290702684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479290703814
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479290703885
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1479290704522
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1479290704526
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1479290704705
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1479290704707
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1479290704708
